6733-LRIZX,35,1,2,1,Electronic check,108.95,4025.5,No
9503-XJUME,52,1,1,0,Credit card (automatic),19.65,928.4,No
4367-NHWMM,1,0,0,1,Mailed check,24.9,24.9,No
3727-RJMEO,6,1,0,1,Electronic check,82.85,460.25,Yes
3779-OSWCF,71,1,2,0,Credit card (automatic),93.2,6506.15,No
6736-DHUQI,67,1,1,0,Bank transfer (automatic),84.8,5598.3,No
3915-ODIYG,60,1,1,1,Electronic check,71.75,4374.55,No
1360-RCYRT,23,0,0,1,Bank transfer (automatic),30.35,678.75,No
2724-FJDYW,39,0,1,0,Bank transfer (automatic),54.85,2191.7,No
4451-RWASJ,15,1,1,1,Mailed check,19.5,239.75,No
6646-VRFOL,53,1,0,1,Electronic check,103.85,5485.5,Yes
3460-TJBWI,24,1,2,0,Mailed check,24.2,609.05,No
5917-HBSDW,37,1,0,0,Electronic check,19.35,683.75,No
5685-IIXLY,5,1,0,1,Electronic check,83.6,404.2,Yes
5671-UUNXD,50,1,1,1,Electronic check,100.65,5189.75,No
0956-ACVZC,54,1,1,1,Credit card (automatic),94.1,5060.9,No
2325-NBPZG,3,1,0,1,Electronic check,74.55,233.65,No
4250-ZBWLV,68,1,1,0,Electronic check,108.45,7176.55,Yes
4482-FTFFX,5,1,0,0,Electronic check,56.15,291.45,No
8859-DZTGQ,33,1,2,0,Mailed check,20.35,689.75,No
0440-MOGPM,41,1,1,1,Electronic check,80.55,3263.9,No
0020-JDNXP,34,0,1,0,Mailed check,61.25,1993.2,No
3752-CQSJI,13,1,0,1,Mailed check,20.45,254.5,No
5025-GOOKI,20,1,0,1,Credit card (automatic),18.9,347.65,No
4698-KVLLG,51,1,2,0,Credit card (automatic),19.6,967.9,No
5095-AESKG,3,1,0,1,Credit card (automatic),91.5,242.95,Yes
2887-JPYLU,41,1,0,0,Bank transfer (automatic),45.2,1841.9,No
4770-QAZXN,13,1,0,0,Credit card (automatic),19.45,232.1,No
4896-CPRPF,35,1,2,0,Bank transfer (automatic),25.45,809.25,No
1871-MOWRM,12,1,0,0,Bank transfer (automatic),80.85,866.45,Yes
9714-EDSUC,4,1,0,1,Mailed check,94.9,360.55,No
2027-OAQQC,43,0,0,1,Bank transfer (automatic),49.05,2076.2,Yes
0282-NVSJS,12,0,0,1,Mailed check,29.3,355.9,No
9090-SGQXL,68,1,0,1,Electronic check,105.3,7299.65,Yes
6595-YGXIT,25,1,0,1,Electronic check,88.95,2291.2,Yes
7353-YOWFP,7,1,1,0,Mailed check,20.25,129.15,No
9835-ZIITK,66,1,1,1,Electronic check,110.85,7491.75,Yes
8008-ESFLK,53,1,1,0,Electronic check,110.5,5835.5,No
7537-CBQUZ,63,1,0,1,Bank transfer (automatic),109.4,7031.45,No
1555-DJEQW,70,1,2,1,Bank transfer (automatic),114.2,7723.9,Yes
5649-TJHOV,27,0,0,0,Bank transfer (automatic),36.5,1032,Yes
0519-XUZJU,1,1,0,0,Mailed check,70.75,70.75,Yes
3363-EWLGO,5,1,0,0,Mailed check,19.95,109.6,No
4750-UKWJK,37,1,1,0,Mailed check,19.6,727.8,No
6338-AVWCY,3,0,0,1,Mailed check,40.15,130.75,Yes
1689-YQBYY,12,1,0,1,Electronic check,76.6,893,No
4487-ZYJZK,38,1,1,0,Credit card (automatic),19.6,763.1,No
2959-FENLU,9,1,0,1,Credit card (automatic),85.3,781.4,No
0708-LGSMF,13,1,0,1,Electronic check,65.85,902.25,No
9253-QXKBE,29,1,0,1,Electronic check,94.45,2653.65,Yes
7634-HLQJR,47,1,2,0,Credit card (automatic),20.05,1016.7,No
0487-RPVUM,61,1,0,0,Bank transfer (automatic),99.4,5943.65,No
4079-ULGFR,16,1,0,0,Mailed check,20,275.7,No
2516-XSJKX,41,1,2,0,Electronic check,78.45,3126.45,No
0057-QBUQH,43,1,2,1,Electronic check,25.1,1070.15,No
9445-SZLCH,36,1,0,1,Bank transfer (automatic),97.35,3457.9,Yes
6599-SFQVE,6,1,0,1,Electronic check,55,340.4,No
8331-ZXFOE,58,1,1,1,Credit card (automatic),71.1,4299.2,No
4003-FUSHP,19,1,0,1,Credit card (automatic),61.55,1093.2,No
0356-ERHVT,11,1,0,1,Bank transfer (automatic),45.9,521.9,No
7325-ENZFI,39,0,1,1,Bank transfer (automatic),40.3,1630.4,No
4884-ZTHVF,8,1,0,1,Electronic check,87.1,713.6,No
3920-HIHMQ,26,1,0,1,Mailed check,49.5,1265.65,No
3055-OYMSE,53,1,0,1,Credit card (automatic),73.8,4003.85,No
0613-WUXUM,70,1,2,1,Mailed check,19.2,1401.4,No
7568-PODML,1,0,0,1,Mailed check,45.3,45.3,Yes
4458-KVRBJ,59,1,2,0,Mailed check,25,1510.5,No
5349-IECLD,2,1,0,0,Electronic check,94.95,178.1,Yes
1397-XKKWR,7,0,1,0,Mailed check,35.3,264.8,No
3945-GFWQL,12,1,0,1,Electronic check,44.55,480.6,Yes
8097-OMULG,59,1,1,0,Credit card (automatic),76.75,4541.9,No
6013-BHCAW,61,1,2,1,Bank transfer (automatic),81,4976.15,No
0401-WDBXM,72,1,2,1,Bank transfer (automatic),105.55,7542.25,No
3387-PLKUI,13,1,0,0,Mailed check,18.8,251.25,No
6096-EGVTU,64,1,1,0,Mailed check,24.9,1595.5,No
3797-VTIDR,1,0,0,1,Electronic check,23.45,23.45,Yes
5081-NWSUP,10,1,1,0,Mailed check,64.9,685.55,No
2580-ATZSQ,65,1,1,0,Bank transfer (automatic),61.35,3874.1,No
8085-MSNLK,62,1,2,0,Mailed check,113.95,6891.4,No
9691-HKOVS,55,1,1,1,Electronic check,90.15,4916.95,No
9881-VCZEP,25,1,0,0,Electronic check,54.1,1373,No
9526-BIHHD,1,0,0,0,Mailed check,29.7,29.7,Yes
8757-TFHHJ,1,1,0,1,Credit card (automatic),49.8,49.8,No
4523-WXCEF,59,1,0,0,Electronic check,101.1,6039.9,Yes
1468-DEFNC,64,1,2,1,Bank transfer (automatic),24.4,1548.65,No
5119-KEPFY,36,1,0,1,Bank transfer (automatic),95,3440.25,No
8364-TRMMK,3,1,0,1,Mailed check,50.65,151.3,Yes
0916-KNFAJ,61,1,2,1,Mailed check,69.9,4226.7,No
8319-QBEHW,26,0,1,1,Bank transfer (automatic),39.95,1023.75,No
3063-QFSZL,1,1,0,1,Electronic check,55.4,55.4,Yes
8775-LHDJH,1,1,0,1,Electronic check,90.6,90.6,Yes
